X_ER,X_ER membrane,X_ER membrane-associated,ERGIC,Golgi,Golgi membrane,Golgi membrane-associated,Cis Golgi,Trans Golgi,Lysosome,Mitochondria,Plasma Membrane,Endosome,Peroxisome,Nucleus,Cytosol,ER,ER Lumen,ER high curvature ,ER high sheet,ER Membrane,ER Membrane-associated,ER Receptors
DIO1,FMO2,SQLE,,GALNT16,HS3ST4,,,,OSTM1,CLPB,CA12,VPS11,,BHLHE22,C11orf21,ACSL3,,,,FADS1,,
DIPK1A,FMO3,SRPRA,,GALNT17,HS3ST5,,,,PCYOX1,CLPP,CA4,VPS16,,BHLHE23,C12orf4,ADAM10,,,,FADS3,,
DIPK1B,FMO4,SUMF1,,GALNT18,HS3ST6,,,,PLA2G15,CLPX,CACNA1A,VPS18,,BHLHE41,C12orf57,ADPGK,,,,JAGN1,,
DIPK1C,FMO5,SUMF2,,GALNT2,IMPAD1,,,,PLBD1,CLYBL,CACNA1H,VPS26A,,BHMG1,C1orf198,AGPAT1,,,,LCLAT1,,
DNAJB11,FMO6P,TFG,,GALNT3,LARGE1,,,,PLBD2,CMC1,CACNA1S,VPS26B,,BLM,C20orf203,AGPAT2,,,,MAGT1,,
DNAJB9,G6PC,TOR2A,,GALNT4,LARGE2,,,,PPT1,CMC2,CACNG1,VPS26C,,BMP2K,C4orf46,AGPAT3,,,,SCD,,
DNAJC10,G6PC2,TXNDC12,,GALNT5,LFNG,,,,PPT2,CMC4,CACNG4,VPS29,,BMS1,CA1,ALG1,,,,SSR3,,
DNAJC14,G6PC3,TXNDC5,,GALNT6,MAN1A1,,,,PRCP,CMPK2,CACNG5,VPS33A,,BNC2,CA3,ALG2,,,,TMEM259,,
DNAJC3,GDPD3,ZFAND2B,,GALNT7,MAN1A2,,,,PSAP,COA1,CACNG6,VPS33B,,BOP1,CA7,ALG5,,,,TMEM43,,
DNASE1L1,GGCX,,,GALNT8,MAN1C1,,,,RNF152,COA3,CACNG7,VPS35,,BRD1,CAB39,ALG9,,,,TMEM97,,
DOLK,GPAA1,,,GALNT9,MAN2A1,,,,RPTOR,COA4,CACNG8,VPS35L,,BRD2,CABP5,AMFR,,,,VKORC1L1,,
DOLPP1,GPAT3,,,GALNTL6,MAN2A2,,,,RRAGA,COA6,CADM1,VPS37B,,BRD3,CACNB3,ANKLE2,,,,CDIPT,,
DPAGT1,GPAT4,,,GANAB,MANEA,,,,RRAGB,COA7,CADM2,VPS37C,,BRD4,CAPN3,ANO10,,,,CLPTM1,,
DPM1,GSG1,,,GASK1B,MANEAL,,,,RRAGC,COA8,CADM3,VPS37D,,BRD7,CAPS,APMAP,,,,GGCX,,
DPM2,GUCY2D,,,GBF1,4-Mar,,,,RRAGD,COASY,CALCR,VPS39,,BRD8,CAPSL,ARL6IP5,,,,CERS2,,
DPM3,HACD1,,,GBGT1,9-Mar,,,,SCARB2,COQ10A,CALCRL,VPS41,,BRDT,CARD10,ASPH,,,,CERS5,,
DUOXA2,HACD2,,,GCC1,MFNG,,,,SCPEP1,COQ10B,CAP1,VPS4A,,BRF1,CARD14,ATF6,,,,CLPTM1L,,
EBPL,HACD3,,,GCC2,MGAT1,,,,SGSH,COQ2,CAP2,VPS4B,,BRF2,CARD17,ATP13A1,,,,DEGS1,,
EDEM1,HACD4,,,GCNT1,MGAT2,,,,SIAE,COQ3,CASR,VPS50,,BRIX1,CARD9,ATP2A2,,,,DERL1,,
EDEM2,HERPUD1,,,GCNT2,MGAT3,,,,SLC11A1,COQ4,CATSPER1,VPS8,,BRMS1L,CARS1,ATP6AP2,,,,HACD2,,
EDEM3,HHAT,,,GCNT3,MGAT4A,,,,SLC15A3,COQ5,CATSPER2,VTA1,,BSX,CASKIN1,AUP1,,,,HACD3,,
EIF2AK3,HHATL,,,GCNT4,MGAT4B,,,,SLC15A4,COQ6,CATSPER3,VTI1B,,BTAF1,CASKIN2,B3GLCT,,,,ITPR1,,
ELOVL1,HMGCR,,,GCNT7,MGAT4C,,,,SLC17A5,COQ7,CATSPER4,WASH2P,,BTBD18,CASP3,BCAP29,,,,ITPR2,,
ELOVL2,HSD11B1,,,GFY,MGAT5,,,,SLC26A11,COQ8A,CATSPERD,WASH3P,,BTBD7,CASP6,BCAP31,,,,ITPR3,,
ELOVL3,HSD17B12,,,GGA1,MGAT5B,,,,SLC29A3,COQ9,CATSPERE,WASH4P,,BTBD8,CASP7,BNIP1,,,,MBOAT7,,
ELOVL4,HSD3B7,,,GGA2,MMD2,,,,SLC2A6,COX10,CATSPERZ,WASH6P,,BUB1,CASP8,BRI3BP,,,,SYVN1,,
ELOVL5,ICMT,,,GGA3,MPPE1,,,,SLC30A2,COX11,CCKAR,WASHC1,,BUB3,CASTOR1,C16orf58,,,,TMBIM6,,
ELOVL6,IER3IP1,,,GGTA1P,NAGPA,,,,SLC36A1,COX14,CCKBR,WASHC2A,,BUD13,CASTOR2,CCDC47,,,,AMFR,,
ELOVL7,IKBIP,,,GKAP1,NDST1,,,,SLC38A7,COX15,CCR1,WASHC2C,,BUD31,CBR1,CDIPT,,,,DHCR7,,
EOGT,ILDR2,,,GLCE,NDST2,,,,SLC38A9,COX16,CCR10,WASHC3,,C11orf1,CBR3,CDK5RAP3,,,,ELOVL1,,
EPHX1,INSIG1,,,GLG1,NDST3,,,,SLC44A2,COX17,CCR2,WASHC4,,C11orf54,CCDC125,CDKAL1,,,,ELOVL5,,
EPHX3,INSIG2,,,GLIPR2,NDST4,,,,SLC48A1,COX18,CCR3,WASHC5,,C1orf174,CCM2,CEPT1,,,,GPAA1,,
EPM2AIP1,ITPR1,,,GNPNAT1,PAQR3,,,,SLC49A4,COX20,CCR4,WDFY1,,C1orf61,CCNG2,CERS2,,,,PTDSS2,,
ERAP1,ITPR2,,,GNPTAB,PCSK7,,,,SLC66A1,COX4I1,CCR5,WDFY2,,C2CD4A,CCS,CERS5,,,,RCE1,,
ERAP2,ITPR3,,,GNPTG,POMGNT1,,,,SLC7A14,COX4I2,CCR6,WDR81,,C2CD4B,CCT2,CHP1,,,,TMEM164,,
ERG28,JAGN1,,,GOLGA1,PXYLP1,,,,SMPD1,COX5A,CCR7,WDR91,,CABIN1,CCT3,CLCC1,,,,VMP1,,
ERLEC1,JKAMP,,,GOLGA2,QPCTL,,,,SZT2,COX5B,CCR8,ZFYVE16,,CACTIN,CCT6A,CLPTM1,,,,ALG9,,
ERLIN1,KDELR1,,,GOLGA3,QSOX1,,,,TCIRG1,COX6A1,CCR9,ZFYVE21,,CAMTA2,CCT6B,CLPTM1L,,,,ANO10,,
ERLIN2,KDELR2,,,GOLGA4,RER1,,,,TM6SF1,COX6A2,CCRL2,ZFYVE9,,CAND2,CCT7,CNPY4,,,,CEPT1,,
ERMARD,KDELR3,,,GOLGA5,RFNG,,,,TMEM106B,COX6B1,CD109,,,CAPN7,CCT8L1P,CRELD1,,,,LBR,,
ERMP1,KDSR,,,GOLGA7,RHBDD2,,,,TMEM175,COX6B2,CD180,,,CARF,CCT8L2,CRELD2,,,,TRAM1,,
ERN1,KRTCAP2,,,GOLGA7B,RNF24,,,,TMEM192,COX6C,CD19,,,CASZ1,CDC123,CYP20A1,,,,ERMP1,,
ERN2,KTN1,,,GOLGA8A,RXYLT1,,,,TMEM55B,COX7A1,CD2,,,CBFA2T2,CDC37,CYP2S1,,,,G6PC3,,
ERO1A,LCLAT1,,,GOLGA8B,SEC22B,,,,TMEM63A,COX7A2,CD200,,,CBFB,CDC37L1,CYP51A1,,,,HM13,,
ERO1B,LCTL,,,GOLGA8IP,SGMS1,,,,TPCN1,COX7A2L,CD22,,,CBX1,CDC42BPG,DAD1,,,,LPCAT3,,
ERP27,LMF1,,,GOLGB1,SLC24A5,,,,TPCN2,COX7A2P2,CD226,,,CBX2,CDCA3,DDOST,,,,PIGU,,
ERP29,LMF2,,,GOLIM4,SLC30A5,,,,TPP1,COX7B,CD24,,,CBX3,CDKL3,DDRGK1,,,,PTDSS1,,
ERP44,LNPK,,,GOLM1,SLC30A6,,,,TSPAN1,COX7B2,CD244,,,CBX4,CDKL4,DEGS1,,,,SOAT1,,
EXTL1,LPCAT3,,,GOLPH3L,SLC30A7,,,,TSPAN3,COX7C,CD300A,,,CBX5,CDV3,DERL1,,,,TAP2,,
FA2H,LPCAT4,,,GOLT1A,SLC35A1,,,,TSPAN6,COX8A,CD300C,,,CBX6,CHAC2,DHCR7,,,,ATP13A1,,
FADS2,LPGAT1,,,GOLT1B,SLC35A2,,,,WDR24,COX8C,CD300E,,,CBX7,CHKA,DHRS13,,,,ATP2A2,,
FADS2P1,LRIT1,,,GOPC,SLC35A3,,,,WDR59,CPOX,CD300LB,,,CBX8,CHM,DHRS7,,,,SEC61A1,,
FADS3,LRIT3,,,GORAB,SLC35A4,,,,,CPT1A,CD300LD,,,CC2D1B,CHML,DNAJB12,,,,SLC22A18,,
FDFT1,MAN1B1,,,GORASP1,SLC35B2,,,,,CPT1B,CD300LF,,,CCDC106,CIAO1,DNAJB14,,,,LMF2,,
FICD,6-Mar,,,GORASP2,SLC35B3,,,,,CPT2,CD320,,,CCDC110,CIAO2A,DNAJC1,,,,SLC33A1,,
FITM1,MBOAT4,,,GOSR1,SLC35B4,,,,,CRLS1,CD3D,,,CCDC174,CIT,DPM1,,,,WFS1,,
FITM2,MBOAT7,,,GOSR2,SLC35C1,,,,,CS,CD3E,,,CCDC59,CKB,EBP,,,,RFT1,,
FKBP10,MEST,,,GPR89A,SLC35D2,,,,,CSKMT,CD3G,,,CCDC86,CKM,EIF2AK3,,,,STT3A,,
FKBP14,MGST2,,,GPR89B,SLC39A13,,,,,CYB5B,CD44,,,CCNA1,CLLU1,ELOVL1,,,,STT3B,,
FKBP2,MGST3,,,GSAP,SLC9A8,,,,,CYC1,CD47,,,CCNB1IP1,CLNK,ELOVL5,,,,PIGO,,
FKBP7,MIA2,,,HS2ST1,ST3GAL1,,,,,CYCS,CD48,,,CCNB3,CMBL,EMC1,,,,TMEM245,,
FKBP9,MIA3,,,HS3ST1,ST3GAL2,,,,,CYP11A1,CD5,,,CCNC,CNBD2,EMC7,,,,RAB18,,
FLT3,MLEC,,,HS3ST2,ST3GAL3,,,,,CYP11B1,CD52,,,CCNE1,CNDP2,EMD,,,,,,
FMO1,MOGAT1,,,HS3ST3A1,ST3GAL4,,,,,CYP11B2,CD53,,,CCNE2,CNTF,EPHX1,,,,,,
FMO2,MOGAT2,,,HS3ST3B1,ST3GAL5,,,,,CYP24A1,CD58,,,CCNG1,COLCA2,ERLIN1,,,,,,
FMO3,MOGAT3,,,HS3ST4,ST3GAL6,,,,,CYP27A1,CD79A,,,CCNH,COMMD2,ERLIN2,,,,,,
FMO4,MOGS,,,HS3ST5,ST6GAL1,,,,,CYP27B1,CD79B,,,CCNK,CPEB2,ERMP1,,,,,,
FMO5,MOXD1,,,HS3ST6,ST6GAL2,,,,,D2HGDH,CD81,,,CCNL1,CPPED1,FADS1,,,,,,
FMO6P,MSMO1,,,IMPAD1,ST6GALNAC1,,,,,DAP3,CD82,,,CCNL2,CRABP1,FADS3,,,,,,
FOXRED2,NCEH1,,,JAKMIP2,ST6GALNAC2,,,,,DARS2,CD84,,,CCNT1,CRACD,FBLN1,,,,,,
G6PC,NCLN,,,JAKMIP3,ST6GALNAC3,,,,,DBT,CD86,,,CD3EAP,CRACR2A,FDFT1,,,,,,
G6PC2,NOMO2,,,LARGE1,ST6GALNAC4,,,,,DECR1,CD8B2,,,CDC14B,CRIP3,G6PC3,,,,,,
G6PC3,NOX5,,,LARGE2,ST6GALNAC5,,,,,DELE1,CD99L2,,,CDC25C,CRLF3,GGCX,,,,,,
GDPD3,NSDHL,,,LFNG,ST6GALNAC6,,,,,DGLUCY,CDH10,,,CDC26,CRNN,GHDC,,,,,,
GGCX,NUS1,,,MAN1A1,ST8SIA1,,,,,DGUOK,CDH11,,,CDC27,CRPPA,GPAA1,,,,,,
GLYATL2,ORMDL1,,,MAN1A2,ST8SIA2,,,,,DHFR2,CDH12,,,CDC40,CRYL1,GPAT4,,,,,,
GPAA1,ORMDL2,,,MAN1C1,ST8SIA3,,,,,DHODH,CDH13,,,CDC7,CRYM,GPX8,,,,,,
GPAT3,ORMDL3,,,MAN2A1,ST8SIA4,,,,,DHRS2,CDH15,,,CDC73,CRYZ,GRAMD2B,,,,,,
GPAT4,OSBPL5,,,MAN2A2,ST8SIA5,,,,,DHTKD1,CDH16,,,CDCA2,CSDE1,HACD2,,,,,,
GSG1,OST4,,,MANEA,ST8SIA6,,,,,DHX30,CDH17,,,CDCA4,CSNK1A1L,HACD3,,,,,,
GUCY2D,OSTC,,,MANEAL,STX10,,,,,DLAT,CDH18,,,CDK12,CSNK1G1,HM13,,,,,,
H6PD,P4HTM,,,4-Mar,STX6,,,,,DLST,CDH19,,,CDK13,CSNK1G2,HMOX1,,,,,,
HACD1,PAPPA-AS1,,,9-Mar,SYNDIG1L,,,,,DMAC1,CDH2,,,CDK8,CSNK1G3,HMOX2,,,,,,
HACD2,PARP16,,,MFNG,SYS1,,,,,DMAC2,CDH20,,,CDKN1C,CSTA,HSD17B11,,,,,,
HACD3,PDZD8,,,MGAT1,TM9SF4,,,,,DMAC2L,CDH22,,,CDKN2AIP,CTAG1A,HSD17B12,,,,,,
HACD4,PGAP1,,,MGAT2,TMBIM4,,,,,DMGDH,CDH23,,,CDT1,CTH,HSPA13,,,,,,
HCRT,PGRMC1,,,MGAT3,TMED1,,,,,DNAJC11,CDH24,,,CDX1,CTU1,ILVBL,,,,,,
HERPUD1,PIEZO1,,,MGAT4A,TMED10,,,,,DNAJC15,CDH26,,,CDX2,CTU2,ITGB1,,,,,,
HHAT,PIGA,,,MGAT4B,TMED2,,,,,DNAJC19,CDH3,,,CDX4,CUL9,ITPR1,,,,,,
HHATL,PIGB,,,MGAT4C,TMED3,,,,,DNAJC30,CDH4,,,CDY1,CXXC4,ITPR2,,,,,,
HMGCR,PIGC,,,MGAT5,TMED5,,,,,DNLZ,CDH5,,,CDY2A,CYGB,ITPR3,,,,,,
HMOX1,PIGF,,,MGAT5B,TMED7,,,,,EARS2,CDH6,,,CDYL,DARS1,JAGN1,,,,,,
HMOX2,PIGG,,,MMD2,TMED9,,,,,ECHDC2,CDH7,,,CDYL2,DDHD1,KDSR,,,,,,
HSD11B1,PIGK,,,MPPE1,TMEM115,,,,,ECHDC3,CDH8,,,CEBPA,DDIT4L,LAMB1,,,,,,
HSD11B2,PIGL,,,NAGPA,TMEM130,,,,,ECHS1,CDH9,,,CEBPD,DDT,LBR,,,,,,
HSD17B11,PIGM,,,NDST1,TMEM165,,,,,ECI1,CDHR1,,,CEBPE,DDTL,LCLAT1,,,,,,
HSD17B12,PIGN,,,NDST2,TMEM167A,,,,,EFHD1,CDHR2,,,CEBPG,DDX60,LEMD2,,,,,,
HSD17B13,PIGO,,,NDST3,TMEM167B,,,,,ENDOG,CDHR3,,,CEBPZ,DENND2D,LMF2,,,,,,
HSD17B3,PIGS,,,NDST4,TMEM230,,,,,ENOSF1,CDHR5,,,CENPA,DESI2,LOXL2,,,,,,
HSD3B7,PIGT,,,NECAB3,TMEM59L,,,,,ERAL1,CDON,,,CENPB,DFFA,LPCAT1,,,,,,
HSP90B1,PIGU,,,NUCB1,TMEM79,,,,,ETFA,CEACAM20,,,CENPBD1,DGKB,LPCAT2,,,,,,
HSPA13,PIGV,,,NUCB2,TMEM87A,,,,,ETFB,CEACAM5,,,CENPC,DHX29,LPCAT3,,,,,,
HSPA5,PIGW,,,OSBPL11,TMEM87B,,,,,ETFDH,CEACAM6,,,CENPH,DHX58,LPGAT1,,,,,,
HYOU1,PIGX,,,OSBPL9,TPST1,,,,,ETFRF1,CEACAM7,,,CENPI,DICER1,LRPAP1,,,,,,
ICMT,PIGY,,,PACS1,TPST2,,,,,ETNPPL,CEACAM8,,,CENPK,DIS3L,LRRC59,,,,,,
IER3IP1,PIGZ,,,PAQR3,UGCG,,,,,EXD2,CELSR1,,,CENPL,DLEC1,LSG1,,,,,,
IKBIP,PNLDC1,,,PCSK7,UST,,,,,EXOG,CELSR2,,,CENPN,DNAAF2,LSS,,,,,,
ILDR2,PNPLA6,,,POMGNT1,UXS1,,,,,FAM162A,CELSR3,,,CENPO,DNAAF3,MAGT1,,,,,,
INSIG1,POMGNT2,,,PRRC1,XYLT1,,,,,FAM210B,CEMIP2,,,CENPP,DNAJC12,MBOAT7,,,,,,
INSIG2,POMK,,,PXYLP1,XYLT2,,,,,FARS2,CFAP65,,,CENPQ,DNPEP,METTL7A,,,,,,
ITPR1,POMT1,,,QPCTL,YIF1A,,,,,FASTK,CHRM1,,,CENPS,DOCK3,MGST2,,,,,,
ITPR2,POMT2,,,QSOX1,YIPF1,,,,,FASTKD1,CHRM2,,,CENPT,DPP3,MIA3,,,,,,
ITPR3,POR,,,RER1,YIPF2,,,,,FASTKD2,CHRM3,,,CENPW,DPP8,MLEC,,,,,,
JAGN1,PORCN,,,RFNG,YIPF3,,,,,FASTKD3,CHRM4,,,CENPX,DPPA5,MOGS,,,,,,
JKAMP,PTDSS1,,,RHBDD2,YIPF4,,,,,FASTKD5,CHRM5,,,CGGBP1,DPYD,MOSPD2,,,,,,
JMJD8,PTDSS2,,,RHOBTB3,YIPF5,,,,,FDX1,CHRNA1,,,CHAF1A,DPYSL4,MSMO1,,,,,,
JSRP1,PTGIS,,,RND3,YIPF6,,,,,FDX2,CHRNA10,,,CHD1L,DPYSL5,MXRA7,,,,,,
KCNRG,PTPN5,,,RNF125,YIPF7,,,,,FDXR,CHRNA2,,,CHD2,DTD2,NBAS,,,,,,
KDELR1,RCE1,,,RNF24,ZDHHC15,,,,,FECH,CHRNA3,,,CHD5,DTNB,NCLN,,,,,,
KDELR2,RDH10,,,RXYLT1,ZDHHC21,,,,,FMC1,CHRNA4,,,CHD6,DTX3,NSDHL,,,,,,
KDELR3,RDH11,,,SDF4,ZDHHC3,,,,,FOXRED1,CHRNA5,,,CHD7,DTX4,ODR4,,,,,,
KDSR,RDH16,,,SEC22B,ZDHHC7,,,,,FPGS,CHRNA6,,,CHD8,DUPD1,OS9,,,,,,
KRTCAP2,RDH5,,,SGMS1,ZFPL1,,,,,FTMT,CHRNA7,,,CHEK2,DUSP13,OSBPL8,,,,,,
KTN1,REEP3,,,SGSM1,ZDHHC13,,,,,FUNDC1,CHRNA9,,,CHFR,DUSP6,OSTC,,,,,,
LCLAT1,REEP4,,,SLC24A5,CHPF,,,,,G0S2,CHRNB1,,,CHRAC1,DUSP7,PCYOX1,,,,,,
LCTL,REEP5,,,SLC30A5,,,,,,GATB,CHRNB2,,,CHTF18,DUSP9,PGRMC1,,,,,,
LDAH,REEP6,,,SLC30A6,,,,,,GATC,CHRNB3,,,CHTF8,DVL1P1,PGRMC2,,,,,,
LMF1,RNF103,,,SLC30A7,,,,,,GATD3A,CHRNB4,,,CHTOP,DVL3,PIGK,,,,,,
LMF2,RNF133,,,SLC35A1,,,,,,GATD3B,CHRND,,,CIART,DZIP3,PIGO,,,,,,
LNPK,RNF139,,,SLC35A2,,,,,,GATM,CHRNE,,,CIC,ECHDC1,PIGS,,,,,,
LPCAT3,RNF145,,,SLC35A3,,,,,,GCDH,CHRNG,,,CIITA,EDARADD,PIGT,,,,,,
LPCAT4,RNF170,,,SLC35A4,,,,,,GCSH,CLCN1,,,CINP,EEF1A1P5,PIGU,,,,,,
LPGAT1,RNF186,,,SLC35B2,,,,,,GDF5OS,CLCN2,,,CITED2,EEF1AKMT1,PKMYT1,,,,,,
LRIT1,RNF19B,,,SLC35B3,,,,,,GFER,CLCNKB,,,CIZ1,EEF2KMT,PNPLA6,,,,,,
LRIT3,RNF26,,,SLC35B4,,,,,,GFM1,CLDN1,,,CLASRP,EFHB,PON2,,,,,,
LSS,RNFT1,,,SLC35C1,,,,,,GFM2,CLDN10,,,CLK1,EIF2AK1,POR,,,,,,
MAN1B1,RPN1,,,SLC35D2,,,,,,GHITM,CLDN11,,,CLK2,EIF2AK4,PREB,,,,,,
6-Mar,RPN2,,,SLC39A13,,,,,,GLDC,CLDN12,,,CLK4,EIF2D,PTDSS1,,,,,,
MBOAT4,RRBP1,,,SLC9A8,,,,,,GLOD4,CLDN14,,,CLP1,EIF3A,PTDSS2,,,,,,
MBOAT7,RTN1,,,SPATA16,,,,,,GLRX5,CLDN15,,,CLSPN,EIF3B,PTPN1,,,,,,
MESD,RTN2,,,ST3GAL1,,,,,,GLS2,CLDN16,,,CLUAP1,EIF3C,RCE1,,,,,,
MEST,RTN4,,,ST3GAL2,,,,,,GLUD1,CLDN17,,,CMAS,EIF3CL,RETSAT,,,,,,
METTL7A,RYR3,,,ST3GAL3,,,,,,GLUD2,CLDN18,,,CMTR1,EIF3D,RFT1,,,,,,
MGST2,SACM1L,,,ST3GAL4,,,,,,GLYAT,CLDN19,,,COIL,EIF3F,RINT1,,,,,,
MGST3,SAMD8,,,ST3GAL5,,,,,,GPAM,CLDN2,,,COPRS,EIF3H,RPN1,,,,,,
MIA2,SC5D,,,ST3GAL6,,,,,,GPAT2,CLDN20,,,CPHXL,EIF3I,RPN2,,,,,,
MIA3,SCD,,,ST6GAL1,,,,,,GPD2,CLDN22,,,CPSF1,EIF3J,RRBP1,,,,,,
MINPP1,SCD5,,,ST6GAL2,,,,,,GRPEL1,CLDN23,,,CPSF2,EIF3L,SACM1L,,,,,,
MLEC,SDR16C5,,,ST6GALNAC1,,,,,,GRPEL2,CLDN24,,,CPSF3,EIF3M,SCARB1,,,,,,
MMP27,SEC11A,,,ST6GALNAC2,,,,,,GRSF1,CLDN25,,,CPSF4,EIF5B,SCD,,,,,,
MOGAT1,SEC11C,,,ST6GALNAC3,,,,,,GTPBP3,CLDN3,,,CRAMP1,ELMO3,SCFD2,,,,,,
MOGAT2,SEC22A,,,ST6GALNAC4,,,,,,GUF1,CLDN34,,,CREB1,EMC8,SEC11A,,,,,,
MOGAT3,SEC22C,,,ST6GALNAC5,,,,,,HADH,CLDN4,,,CREB5,EMC9,SEC61A1,,,,,,
MOGS,SEC61A1,,,ST6GALNAC6,,,,,,HADHA,CLDN5,,,CREBL2,ENGASE,SEC61B,,,,,,
MOXD1,SEC61A2,,,ST8SIA1,,,,,,HAGH,CLDN6,,,CREBRF,ENSA,SEC61G,,,,,,
MSMO1,SEC61B,,,ST8SIA2,,,,,,HARS2,CLDN7,,,CREBZF,EPS8L1,SEC63,,,,,,
MTTP,SEC61G,,,ST8SIA3,,,,,,HCCS,CLDN8,,,CRNKL1,EPS8L3,SEL1L,,,,,,
NBEAL2,SEC62,,,ST8SIA4,,,,,,HEMK1,CLDN9,,,CRX,ETF1,SERPINI1,,,,,,
NCEH1,SEC63,,,ST8SIA5,,,,,,HIBADH,CLEC12A,,,CSNK2A1,ETNK1,SGPL1,,,,,,
NCLN,SEL1L,,,ST8SIA6,,,,,,HIBCH,CLEC12B,,,CSNKA2IP,FABP1,SIGMAR1,,,,,,
NOMO2,SELENOS,,,STMN4,,,,,,HIGD1A,CLEC2A,,,CSRNP1,FABP2,SLC22A18,,,,,,
NOX5,SELENOT,,,STX10,,,,,,HIGD2A,CLEC4A,,,CSRNP2,FABP3,SLC27A2,,,,,,
NSDHL,SERINC1,,,STX11,,,,,,HINT2,CLEC4C,,,CSRNP3,FABP7,SLC27A4,,,,,,
NUS1,SERP1,,,STX6,,,,,,HMGCS2,CLEC4G,,,CSRP1,FABP9,SLC33A1,,,,,,
ORMDL1,SERP2,,,SYN1,,,,,,HOGA1,CLEC5A,,,CSRP2,FAIM,SLMAP,,,,,,
ORMDL2,SEZ6L,,,SYNDIG1L,,,,,,HRK,CLECL1,,,CSTF1,FAM114A1,SOAT1,,,,,,
ORMDL3,SGPL1,,,SYS1,,,,,,HSD17B10,CLMP,,,CSTF2,FAM83A,SPCS1,,,,,,
OS9,SGPP2,,,TANGO2,,,,,,HSD17B8,CLRN1,,,CSTF2T,FARSA,SPCS2,,,,,,
OSBPL5,SHISA2,,,TBC1D14,,,,,,HSDL1,CLTRN,,,CSTF3,FARSB,SPCS3,,,,,,
OST4,SHISA3,,,TBC1D23,,,,,,HSPD1,CMKLR1,,,CTBP2,FASN,SPTLC1,,,,,,
OSTC,SLC18A1,,,TM9SF4,,,,,,HSPE1,CNGA1,,,CTC1,FBXL14,SQLE,,,,,,
P3H3,SLC27A4,,,TMBIM4,,,,,,HTD2,CNIH3,,,CTCF,FBXL15,SRP54,,,,,,
P3H4,SLC33A1,,,TMED1,,,,,,IARS2,CNNM1,,,CTDSP1,FBXL20,SRP68,,,,,,
P4HA1,SLC35B1,,,TMED10,,,,,,IBA57,CNNM2,,,CTDSP2,FBXO10,SRP72,,,,,,
P4HA2,SLC35D1,,,TMED2,,,,,,IDH2,CNNM3,,,CTDSPL,FBXO4,SRPRA,,,,,,
P4HA3,SLC37A1,,,TMED3,,,,,,IDH3A,CNNM4,,,CTNND2,FBXO40,SRPRB,,,,,,
P4HTM,SLC37A2,,,TMED5,,,,,,IDH3B,CNR2,,,CTR9,FBXO6,SSR3,,,,,,
PAPPA-AS1,SLC37A3,,,TMED7,,,,,,IDH3G,CNTFR,,,CUL4B,FBXO9,SSR4,,,,,,
PARP16,SLC37A4,,,TMED9,,,,,,IFI27L2,CNTN1,,,CUSTOS,FBXW5,ST7,,,,,,
PCYT1B,SLN,,,TMEM115,,,,,,IFI6,CNTN2,,,CUX1,FDPS,STIM1,,,,,,
PDIA2,SMIM14,,,TMEM130,,,,,,IMMP1L,CNTN3,,,CUX2,FEM1A,STT3A,,,,,,
PDIA3,SOAT1,,,TMEM165,,,,,,IMMP2L,CNTN5,,,CWC15,FEM1C,STT3B,,,,,,
PDIA4,SOAT2,,,TMEM167A,,,,,,IMMT,CNTN6,,,CWC22,FGFR1OP2,STX18,,,,,,
PDIA5,SPCS1,,,TMEM167B,,,,,,ISCA1,CNTNAP4,,,CWC25,FMNL2,SYVN1,,,,,,
PDILT,SPCS2,,,TMEM230,,,,,,ISCA2,COL13A1,,,CWC27,FOLH1B,TAP2,,,,,,
PDZD8,SPCS3,,,TMEM59L,,,,,,IVD,COL23A1,,,CXXC1,FPGT,TECR,,,,,,
PGAP1,SPPL2C,,,TMEM79,,,,,,KMO,CPD,,,DACH1,FRAT1,TGFB1,,,,,,
PGRMC1,SPTLC1,,,TMEM87A,,,,,,L2HGDH,CPLX3,,,DACH2,FTSJ1,TGFBR1,,,,,,
PIEZO1,SPTLC2,,,TMEM87B,,,,,,LACTB,CPLX4,,,DBF4,FXR1,THEM6,,,,,,
PIGA,SPTLC3,,,TMF1,,,,,,LACTB2,CPM,,,DBF4B,FXR2,TMBIM6,,,,,,
PIGB,SPTSSA,,,TPST1,,,,,,LARS2,CPO,,,DBP,GALM,TMCO1,,,,,,
PIGC,SPTSSB,,,TPST2,,,,,,LDHD,CR2,,,DBR1,GAPDHS,TMEM109,,,,,,
PIGF,SRD5A1,,,TRAPPC1,,,,,,LETM1,CRB3,,,DBX1,GAS7,TMEM131,,,,,,
PIGG,SRD5A2,,,TRAPPC10,,,,,,LETM2,CRHR2,,,DBX2,GBA3,TMEM164,,,,,,
PIGK,SRD5A3,,,TRAPPC11,,,,,,LETMD1,CSF1R,,,DCAF13,GDPGP1,TMEM199,,,,,,
PIGL,SRPRB,,,TRAPPC2L,,,,,,LIAS,CSMD2,,,DCAF16,GET4,TMEM214,,,,,,
PIGM,SSR1,,,TRAPPC3,,,,,,LIPT1,CSMD3,,,DCAF17,GFAP,TMEM245,,,,,,
PIGN,SSR2,,,TRAPPC3L,,,,,,LIPT2,CSPG4,,,DCAF6,GGPS1,TMEM259,,,,,,
PIGO,SSR3,,,TRAPPC4,,,,,,LONP1,CT83,,,DCK,GIMAP4,TMEM33,,,,,,
